没有电话	快递放没有人知息化地方 也没有电话告知 快递太差
喜欢风格	面料类型 跟实体店没有区别 还便宜 喜欢 面料质感 手感好 很得劲 物流也快 性价比很高 值得购买透气性 太开心了 各方面都很满意 是我喜欢的风格试穿效果 物美价廉 物流给力 值得回购尺码大小 挺好的 和想象中一样 随意搭都很好看 满意
有活力	班尼路衣服年轻的时候经常购买的 年轻有活力 这回无意间看见京东服饰店里有该品牌 然后又遇上那个买四免一的优惠活动 用上京豆 买四件总价挺便宜的 然后京东购物支付用白条还能再减 超级划算 衣服送达后 依然是传承了班尼路过往年轻活力 衣服质量非常好 棉质薄而紧密 领口还专门额外的车制了一道 车缝平整 以保领口不变形 非常好值得推荐购买
购物支付	班尼路衣服年轻的时候经常购买的 年轻有活力 这回无意间看见京东服饰店里有该品牌 然后又遇上那个买四免一的优惠活动 用上京豆 买四件总价挺便宜的 然后京东购物支付用白条还能再减 超级划算 衣服送达后 依然是传承了班尼路过往年轻活力 衣服质量非常好 棉质薄而紧密 领口还专门额外的车制了一道 车缝平整 以保领口不变形 非常好值得推荐购买
年轻活力	班尼路衣服年轻的时候经常购买的 年轻有活力 这回无意间看见京东服饰店里有该品牌 然后又遇上那个买四免一的优惠活动 用上京豆 买四件总价挺便宜的 然后京东购物支付用白条还能再减 超级划算 衣服送达后 依然是传承了班尼路过往年轻活力 衣服质量非常好 棉质薄而紧密 领口还专门额外的车制了一道 车缝平整 以保领口不变形 非常好值得推荐购买
质量非常好	班尼路衣服年轻的时候经常购买的 年轻有活力 这回无意间看见京东服饰店里有该品牌 然后又遇上那个买四免一的优惠活动 用上京豆 买四件总价挺便宜的 然后京东购物支付用白条还能再减 超级划算 衣服送达后 依然是传承了班尼路过往年轻活力 衣服质量非常好 棉质薄而紧密 领口还专门额外的车制了一道 车缝平整 以保领口不变形 非常好值得推荐购买
棉质薄	班尼路衣服年轻的时候经常购买的 年轻有活力 这回无意间看见京东服饰店里有该品牌 然后又遇上那个买四免一的优惠活动 用上京豆 买四件总价挺便宜的 然后京东购物支付用白条还能再减 超级划算 衣服送达后 依然是传承了班尼路过往年轻活力 衣服质量非常好 棉质薄而紧密 领口还专门额外的车制了一道 车缝平整 以保领口不变形 非常好值得推荐购买
保领口	班尼路衣服年轻的时候经常购买的 年轻有活力 这回无意间看见京东服饰店里有该品牌 然后又遇上那个买四免一的优惠活动 用上京豆 买四件总价挺便宜的 然后京东购物支付用白条还能再减 超级划算 衣服送达后 依然是传承了班尼路过往年轻活力 衣服质量非常好 棉质薄而紧密 领口还专门额外的车制了一道 车缝平整 以保领口不变形 非常好值得推荐购买
变形 	班尼路衣服年轻的时候经常购买的 年轻有活力 这回无意间看见京东服饰店里有该品牌 然后又遇上那个买四免一的优惠活动 用上京豆 买四件总价挺便宜的 然后京东购物支付用白条还能再减 超级划算 衣服送达后 依然是传承了班尼路过往年轻活力 衣服质量非常好 棉质薄而紧密 领口还专门额外的车制了一道 车缝平整 以保领口不变形 非常好值得推荐购买
速度很快 	东西发货速度很快 质量挺好的 总的来说非常不错 东西非常给力 还行吧 把你我的衣服面料相对来说还是很不错的
质量挺好	东西发货速度很快 质量挺好的 总的来说非常不错 东西非常给力 还行吧 把你我的衣服面料相对来说还是很不错的
质量差	掉色 质量差
布料 	老实说就这布料     根本不符好吗 另一款   的布料跟这的差别根本不止   好吗 能为顾客用点心吗 生活都不容易 但都想穿着得体 舒适啊 要不是所谓牌子 也懒得买了
  布料	老实说就这布料     根本不符好吗 另一款   的布料跟这的差别根本不止   好吗 能为顾客用点心吗 生活都不容易 但都想穿着得体 舒适啊 要不是所谓牌子 也懒得买了
牌子 	老实说就这布料     根本不符好吗 另一款   的布料跟这的差别根本不止   好吗 能为顾客用点心吗 生活都不容易 但都想穿着得体 舒适啊 要不是所谓牌子 也懒得买了
质量非常好	大品牌 用起来很放心 质量非常好 赶上活动购买非常的划算
方面都是	几乎每年都来买几件 各方面都是非常好的
返差价	太辣鸡了不返差价
面料 	尺码大小 尺码很标准 穿着很舒服合身 面料类型 纯棉的面料 质量感觉很不错 白色很鲜亮 穿起来更好看 显得整个人很亮堂 这次买了很划算 等明年夏天再买两件来穿 希望到时候有活动
白色很鲜亮	尺码大小 尺码很标准 穿着很舒服合身 面料类型 纯棉的面料 质量感觉很不错 白色很鲜亮 穿起来更好看 显得整个人很亮堂 这次买了很划算 等明年夏天再买两件来穿 希望到时候有活动
宽松面料	尺码大小 斤码比较贴身 不宽松面料类型 纯棉的面料质感 舒适透气性 很好试穿效果 还可以
质感 	尺码大小 斤码比较贴身 不宽松面料类型 纯棉的面料质感 舒适透气性 很好试穿效果 还可以
舒适透气性	尺码大小 斤码比较贴身 不宽松面料类型 纯棉的面料质感 舒适透气性 很好试穿效果 还可以
物流快	物流快 货不值
物流巨慢	物流巨慢 不知道为啥选圆通
发货非常快	发货非常快 服务非常好 收到货后觉得质量很不错 性价比很高 值得推荐 还会再购买
收到货后	发货非常快 服务非常好 收到货后觉得质量很不错 性价比很高 值得推荐 还会再购买
觉得质量	发货非常快 服务非常好 收到货后觉得质量很不错 性价比很高 值得推荐 还会再购买
性价比很高	发货非常快 服务非常好 收到货后觉得质量很不错 性价比很高 值得推荐 还会再购买
价格非常便宜	这个背心第一次在网上买 看价格非常便宜 所以买两件穿着试一试 面料手感柔软舒适透气 就是纱织薄了 款式非常合适 透气性良好 买的尺寸也合适 做工质量不错 很和规矩的缝纫工艺 是非常值得的 下次有机会再来购买
手感柔软	这个背心第一次在网上买 看价格非常便宜 所以买两件穿着试一试 面料手感柔软舒适透气 就是纱织薄了 款式非常合适 透气性良好 买的尺寸也合适 做工质量不错 很和规矩的缝纫工艺 是非常值得的 下次有机会再来购买
舒适透气	这个背心第一次在网上买 看价格非常便宜 所以买两件穿着试一试 面料手感柔软舒适透气 就是纱织薄了 款式非常合适 透气性良好 买的尺寸也合适 做工质量不错 很和规矩的缝纫工艺 是非常值得的 下次有机会再来购买
款式非常合适	这个背心第一次在网上买 看价格非常便宜 所以买两件穿着试一试 面料手感柔软舒适透气 就是纱织薄了 款式非常合适 透气性良好 买的尺寸也合适 做工质量不错 很和规矩的缝纫工艺 是非常值得的 下次有机会再来购买
透气性良好	这个背心第一次在网上买 看价格非常便宜 所以买两件穿着试一试 面料手感柔软舒适透气 就是纱织薄了 款式非常合适 透气性良好 买的尺寸也合适 做工质量不错 很和规矩的缝纫工艺 是非常值得的 下次有机会再来购买
做工质量	这个背心第一次在网上买 看价格非常便宜 所以买两件穿着试一试 面料手感柔软舒适透气 就是纱织薄了 款式非常合适 透气性良好 买的尺寸也合适 做工质量不错 很和规矩的缝纫工艺 是非常值得的 下次有机会再来购买
有机会	这个背心第一次在网上买 看价格非常便宜 所以买两件穿着试一试 面料手感柔软舒适透气 就是纱织薄了 款式非常合适 透气性良好 买的尺寸也合适 做工质量不错 很和规矩的缝纫工艺 是非常值得的 下次有机会再来购买
质量很好	纯棉 薄款 夏天穿很合适 质量很好 纱细 光滑 这个深蓝色尤其好看 赞
深蓝色尤其好看	纯棉 薄款 夏天穿很合适 质量很好 纱细 光滑 这个深蓝色尤其好看 赞
非常舒适 衣服很软	非常舒适 衣服很软 贴身穿的感受非常好 感谢京东在疫情特殊情况下 该配送到了上海 好评
外观设计漂亮	外观设计漂亮 尺寸大小合适 包装仔细完整 宝贝手感不错 感觉很好 发货速度快 服务态度一流 给力 星好评
手感不错	外观设计漂亮 尺寸大小合适 包装仔细完整 宝贝手感不错 感觉很好 发货速度快 服务态度一流 给力 星好评
速度快	外观设计漂亮 尺寸大小合适 包装仔细完整 宝贝手感不错 感觉很好 发货速度快 服务态度一流 给力 星好评
一流 	外观设计漂亮 尺寸大小合适 包装仔细完整 宝贝手感不错 感觉很好 发货速度快 服务态度一流 给力 星好评
质量很好	质量很好 客服也很有耐心
客服很有	质量很好 客服也很有耐心
质量很 	活动买的 质量很可以 宝贝与描述基本一致 发货很快 值得一买简直太好用了 只能用完美来形容 强烈推荐 跟描述的是一样的 很显高档 物美价廉 要买的朋友可以下单噢 物超所值 商品设计完美 外观也很高大上 让人爱不释手 客服更是热情的没话说 这次购物很满意
发货很快 	活动买的 质量很可以 宝贝与描述基本一致 发货很快 值得一买简直太好用了 只能用完美来形容 强烈推荐 跟描述的是一样的 很显高档 物美价廉 要买的朋友可以下单噢 物超所值 商品设计完美 外观也很高大上 让人爱不释手 客服更是热情的没话说 这次购物很满意
要买下单	活动买的 质量很可以 宝贝与描述基本一致 发货很快 值得一买简直太好用了 只能用完美来形容 强烈推荐 跟描述的是一样的 很显高档 物美价廉 要买的朋友可以下单噢 物超所值 商品设计完美 外观也很高大上 让人爱不释手 客服更是热情的没话说 这次购物很满意
外观很高大	活动买的 质量很可以 宝贝与描述基本一致 发货很快 值得一买简直太好用了 只能用完美来形容 强烈推荐 跟描述的是一样的 很显高档 物美价廉 要买的朋友可以下单噢 物超所值 商品设计完美 外观也很高大上 让人爱不释手 客服更是热情的没话说 这次购物很满意
购物很满意	活动买的 质量很可以 宝贝与描述基本一致 发货很快 值得一买简直太好用了 只能用完美来形容 强烈推荐 跟描述的是一样的 很显高档 物美价廉 要买的朋友可以下单噢 物超所值 商品设计完美 外观也很高大上 让人爱不释手 客服更是热情的没话说 这次购物很满意
超级长像穿裙子一样	超级长    像穿裙子一样 欧洲码也没这么长吧 面料还行
布料不好穿一次性洗过	布料不好穿一次性还可以洗过就难看了
质量非常好	质量非常好 值得信赖 布料柔软 有弹性 穿起来非常舒服 已经是第二次买了 物美价廉 非常喜欢 尺码标准 做工精致 可以入手
布料柔软	质量非常好 值得信赖 布料柔软 有弹性 穿起来非常舒服 已经是第二次买了 物美价廉 非常喜欢 尺码标准 做工精致 可以入手
